Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
I1,2014-09-24,Inter Milan,Atalanta,2.0,0.0,H,21.0,14.0,6.0,2.0,13.0,14.0,6.0,13.0,1.0,3.0,0.0,0.0,1.44,4.33,7.0,1.47,4.5,8.55,1.51,4.9,9.0,1.44,4.36,7.64,44.0,2014/2015
I1,2014-09-24,Juventus,Cesena,3.0,0.0,H,29.0,1.0,13.0,1.0,10.0,14.0,6.0,2.0,0.0,3.0,0.0,0.0,1.13,8.0,19.0,1.14,9.67,27.49,1.15,10.0,31.0,1.12,8.58,22.13,44.0,2014/2015
I1,2014-09-24,Napoli,Palermo,3.0,3.0,D,16.0,10.0,8.0,6.0,11.0,10.0,6.0,4.0,1.0,4.0,0.0,0.0,1.44,4.33,7.0,1.44,4.72,8.93,1.46,4.9,9.0,1.42,4.47,7.87,44.0,2014/2015
I1,2014-09-24,Parma,Roma,1.0,2.0,A,6.0,13.0,4.0,4.0,15.0,12.0,6.0,9.0,2.0,3.0,0.0,0.0,3.75,3.4,2.0,3.91,3.51,2.09,4.0,3.6,2.11,3.8,3.39,2.02,44.0,2014/2015
I1,2014-09-24,Sampdoria,Chievo,2.0,1.0,H,16.0,5.0,5.0,3.0,25.0,27.0,6.0,1.0,1.0,3.0,0.0,0.0,1.91,3.3,4.2,1.94,3.42,4.71,2.05,3.5,4.7,1.93,3.32,4.25,44.0,2014/2015
I1,2014-09-24,Verona,Genoa,2.0,2.0,D,16.0,16.0,7.0,9.0,13.0,15.0,7.0,4.0,2.0,2.0,0.0,0.0,2.05,3.4,3.5,2.12,3.35,3.98,2.25,3.5,4.02,2.1,3.31,3.64,44.0,2014/2015
I1,2014-09-25,Lazio,Udinese,0.0,1.0,A,18.0,5.0,8.0,2.0,18.0,12.0,7.0,3.0,3.0,1.0,0.0,0.0,1.8,3.5,4.5,1.86,3.63,4.83,1.92,3.7,5.0,1.84,3.47,4.55,43.0,2014/2015
I1,2014-09-27,Atalanta,Juventus,0.0,3.0,A,10.0,16.0,1.0,7.0,17.0,15.0,2.0,3.0,2.0,3.0,0.0,0.0,6.5,3.8,1.55,7.46,4.08,1.56,8.0,4.25,1.65,6.74,3.83,1.55,46.0,2014/2015
I1,2014-09-27,Roma,Verona,2.0,0.0,H,23.0,9.0,6.0,3.0,13.0,4.0,10.0,2.0,1.0,1.0,0.0,0.0,1.33,5.0,9.0,1.36,5.28,10.32,1.4,5.5,11.0,1.35,5.02,9.08,46.0,2014/2015
I1,2014-09-28,Cesena,Milan,1.0,1.0,D,10.0,11.0,2.0,4.0,14.0,12.0,4.0,9.0,4.0,2.0,0.0,1.0,5.5,3.75,1.62,6.96,3.95,1.61,6.85,4.0,1.7,5.88,3.74,1.62,46.0,2014/2015
I1,2014-09-28,Chievo,Empoli,1.0,1.0,D,18.0,6.0,5.0,3.0,20.0,14.0,11.0,1.0,3.0,1.0,0.0,0.0,2.25,3.25,3.25,2.35,3.21,3.54,2.41,3.3,3.8,2.28,3.15,3.39,46.0,2014/2015
I1,2014-09-28,Genoa,Sampdoria,0.0,1.0,A,7.0,10.0,4.0,1.0,22.0,23.0,3.0,5.0,3.0,4.0,0.0,0.0,2.9,3.0,2.6,2.98,3.17,2.71,3.05,3.25,2.8,2.83,3.13,2.64,46.0,2014/2015
I1,2014-09-28,Inter Milan,Cagliari,1.0,4.0,A,15.0,16.0,5.0,7.0,23.0,8.0,10.0,3.0,1.0,3.0,1.0,0.0,1.44,4.33,7.0,1.43,4.8,8.91,1.47,4.9,9.3,1.42,4.47,7.93,46.0,2014/2015
I1,2014-09-28,Sassuolo,Napoli,0.0,1.0,A,11.0,11.0,1.0,3.0,19.0,12.0,6.0,6.0,4.0,2.0,0.0,0.0,4.5,3.5,1.8,4.89,3.85,1.8,4.95,3.88,1.91,4.48,3.59,1.81,46.0,2014/2015
I1,2014-09-28,Torino,Fiorentina,1.0,1.0,D,15.0,19.0,3.0,7.0,14.0,15.0,6.0,4.0,3.0,2.0,0.0,0.0,2.88,3.2,2.5,2.94,3.16,2.76,2.98,3.3,2.76,2.81,3.15,2.63,46.0,2014/2015
I1,2014-09-29,Palermo,Lazio,0.0,4.0,A,17.0,15.0,4.0,10.0,12.0,16.0,4.0,1.0,2.0,4.0,0.0,0.0,2.9,3.25,2.4,3.24,3.29,2.45,3.3,3.4,2.51,3.11,3.21,2.37,43.0,2014/2015
