Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
D1,2014-09-23,Werder Bremen,Schalke 04,0,3,A,12,11,4,4,17,15,6,5,4,3,0,0,2.8,3.4,2.4,2.9,3.63,2.5,3.1,3.65,2.5,2.91,3.45,2.38,44.0,2014/2015
D1,2014-09-24,Hannover,FC Koln,1,0,H,9,9,4,3,9,11,2,6,0,2,0,0,2.15,3.4,3.25,2.29,3.42,3.42,2.33,3.5,3.5,2.22,3.33,3.29,44.0,2014/2015
D1,2014-09-24,Leverkusen,Augsburg,1,0,H,17,11,3,4,13,13,6,7,3,2,0,0,1.57,4.2,5.25,1.59,4.52,5.92,1.63,4.55,6.5,1.55,4.27,5.79,44.0,2014/2015
D1,2014-09-24,Dortmund,Stuttgart,2,2,D,25,10,9,5,11,10,5,4,2,2,0,0,1.36,5.0,7.5,1.36,5.55,9.69,1.41,5.8,9.8,1.35,5.07,8.53,44.0,2014/2015
D1,2014-09-24,M'gladbach,Hamburg,1,0,H,20,14,9,1,19,17,9,9,1,1,0,0,1.65,4.0,4.75,1.73,4.02,5.15,1.77,4.1,5.3,1.7,3.83,4.88,43.0,2014/2015
D1,2014-09-24,Hertha,Wolfsburg,1,0,H,3,13,3,3,15,10,6,5,3,2,0,0,3.0,3.5,2.25,3.24,3.61,2.31,3.3,3.6,2.41,3.09,3.37,2.29,44.0,2014/2015
D1,2014-09-26,Mainz,Hoffenheim,0,0,D,10,13,3,3,13,25,5,4,1,2,0,0,2.4,3.4,2.8,2.4,3.59,3.08,2.5,3.65,3.1,2.38,3.45,2.92,46.0,2014/2015
D1,2014-09-27,FC Koln,Bayern Munich,0,2,A,8,21,3,8,6,6,2,11,0,0,0,0,7.5,5.0,1.36,9.92,5.12,1.38,10.72,5.4,1.45,9.2,4.87,1.35,46.0,2014/2015
D1,2014-09-27,Freiburg,Leverkusen,0,0,D,8,16,3,8,21,24,5,3,2,4,1,1,4.2,3.75,1.8,4.5,3.95,1.83,4.7,3.96,1.9,4.3,3.71,1.81,46.0,2014/2015
D1,2014-09-27,Paderborn,M'gladbach,1,2,A,24,11,8,4,9,18,9,0,1,1,0,0,3.3,3.5,2.1,3.69,3.52,2.15,3.7,3.6,2.31,3.42,3.42,2.13,45.0,2014/2015
