Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
F1,2014-08-30,Monaco,Lille,1.0,1.0,D,13.0,4.0,2.0,2.0,11.0,18.0,7.0,2.0,1.0,3.0,0.0,0.0,1.95,3.2,4.2,1.98,3.35,4.6,2.06,3.5,4.61,1.96,3.23,4.15,50.0,2014/2015
F1,2014-08-30,Nantes,Montpellier,1.0,0.0,H,14.0,7.0,5.0,0.0,19.0,10.0,7.0,4.0,2.0,0.0,0.0,0.0,2.25,3.1,3.4,2.36,3.04,3.68,2.36,3.3,3.8,2.25,3.09,3.39,50.0,2014/2015
F1,2014-08-30,Toulouse,Evian Thonon Gaillard,1.0,0.0,H,10.0,7.0,5.0,2.0,12.0,19.0,2.0,7.0,1.0,2.0,0.0,1.0,1.75,3.4,5.0,1.8,3.61,5.18,1.84,3.65,5.3,1.76,3.48,4.8,50.0,2014/2015
F1,2014-08-31,Bordeaux,Bastia,1.0,1.0,D,23.0,8.0,4.0,4.0,17.0,17.0,4.0,0.0,0.0,3.0,0.0,0.0,1.62,3.6,6.0,1.63,3.76,6.79,1.68,4.05,7.2,1.6,3.66,5.99,50.0,2014/2015
F1,2014-08-31,Metz,Lyon,2.0,1.0,H,7.0,17.0,3.0,5.0,19.0,12.0,7.0,4.0,1.0,0.0,0.0,0.0,2.8,3.1,2.6,2.91,3.11,2.77,2.98,3.25,2.77,2.8,3.07,2.6,50.0,2014/2015
F1,2014-08-31,Paris Saint-Germain,Saint-Etienne,5.0,0.0,H,13.0,8.0,8.0,2.0,7.0,14.0,4.0,7.0,0.0,1.0,0.0,0.0,1.53,3.8,6.5,1.52,4.22,7.81,1.56,4.33,8.0,1.5,3.99,6.88,48.0,2014/2015
F1,2014-09-12,Lyon,Monaco,2.0,1.0,H,11.0,16.0,3.0,9.0,13.0,10.0,6.0,7.0,1.0,1.0,0.0,0.0,2.5,3.1,2.9,2.66,3.15,3.05,2.68,3.2,3.15,2.52,3.1,2.96,46.0,2014/2015
F1,2014-09-13,Bastia,Lens,1.0,1.0,D,9.0,6.0,4.0,2.0,12.0,9.0,8.0,2.0,1.0,2.0,0.0,0.0,1.95,3.2,4.2,2.1,3.3,4.07,2.15,3.4,4.33,2.02,3.26,3.88,46.0,2014/2015
F1,2014-09-13,Montpellier,Lorient,1.0,0.0,H,11.0,11.0,1.0,4.0,11.0,16.0,3.0,3.0,1.0,2.0,0.0,0.0,2.05,3.1,3.9,2.13,3.18,4.14,2.25,3.3,4.25,2.09,3.14,3.75,46.0,2014/2015
F1,2014-09-13,Nice,Metz,1.0,0.0,H,9.0,12.0,2.0,1.0,11.0,20.0,8.0,3.0,1.0,2.0,0.0,0.0,2.25,3.1,3.4,2.28,3.11,3.77,2.38,3.2,3.79,2.24,3.07,3.47,46.0,2014/2015
