Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
SP1,2014-10-04,Malaga,Granada,2,1,H,17,8,3,5,12,15,3,3,1,4,1,0,1.8,3.5,4.5,1.85,3.54,5.04,1.87,3.6,5.15,1.83,3.4,4.65,45.0,2014/2015
SP1,2014-10-04,Valencia,Atletico Madrid,3,1,H,6,19,3,5,23,14,1,6,4,0,0,1,2.75,3.2,2.6,2.85,3.25,2.76,2.88,3.4,2.8,2.74,3.22,2.63,44.0,2014/2015
SP1,2014-10-04,Vallecano,Barcelona,0,2,A,14,18,4,7,19,7,6,7,2,2,2,0,9.0,6.5,1.25,10.9,6.3,1.3,12.0,6.7,1.31,10.3,5.96,1.27,44.0,2014/2015
SP1,2014-10-05,Espanol,Sociedad,2,0,H,10,13,4,4,20,12,4,4,6,2,0,0,2.5,3.25,2.8,2.63,3.32,2.95,2.7,3.35,3.02,2.53,3.22,2.85,45.0,2014/2015
SP1,2014-10-05,Celta,Villarreal,1,3,A,15,11,6,4,15,22,11,4,3,4,1,0,2.38,3.2,3.0,2.57,3.4,2.96,2.6,3.42,3.0,2.49,3.27,2.87,45.0,2014/2015
SP1,2014-10-05,Sevilla,Deportivo La Coruna,4,1,H,16,7,10,5,11,10,9,2,2,2,0,0,1.4,4.4,8.0,1.41,4.91,9.08,1.45,5.1,9.5,1.4,4.6,8.12,45.0,2014/2015
SP1,2014-10-05,Real Madrid,Athletic Bilbao,5,0,H,19,6,14,5,9,10,8,7,1,2,0,0,1.2,6.5,15.0,1.2,8.19,15.69,1.23,8.2,17.0,1.2,6.76,13.48,45.0,2014/2015
SP1,2014-10-17,Granada,Vallecano,0,1,A,9,8,1,2,17,13,3,6,4,5,0,0,2.2,3.3,3.3,2.35,3.39,3.34,2.38,3.4,3.5,2.26,3.3,3.29,46.0,2014/2015
SP1,2014-10-18,Athletic Bilbao,Celta,1,1,D,13,4,4,1,13,16,9,2,3,3,0,0,1.91,3.6,3.75,2.01,3.61,4.08,2.02,3.63,4.33,1.95,3.5,3.9,46.0,2014/2015
SP1,2014-10-18,Barcelona,Eibar,3,0,H,27,4,12,2,9,13,12,3,2,2,0,0,1.1,9.0,21.0,1.1,12.1,33.68,1.12,13.0,36.0,1.1,9.71,26.31,46.0,2014/2015
SP1,2014-10-18,Cordoba,Malaga,1,2,A,8,8,2,4,16,21,6,13,2,3,0,0,3.25,3.0,2.38,3.43,3.13,2.45,3.52,3.3,2.5,3.22,3.1,2.38,46.0,2014/2015
